survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,name_th,name_en,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A001,98.3515408,7.895104398,109,9.8,กระทิง,Alexandrian laurel,Calophyllum inophyllum,สารภีทะเล,ป่าดิบแล้ง,34.68,280.78,84.85,7.41,373.04,100.72,473.76,227.73,835.03,0.84
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A002,98.35146112,7.895166548,76,8.9,ปีบ,Indian cork tree,Millingtonia hortensis,กาสะลอง,ป่าเบญจพรรณ,24.18,115.77,22.86,4.41,143.04,38.62,181.66,89.03,326.44,0.33
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A003,98.35137619,7.895216735,90,11.9,อินทนิล,Queen’s flower,Lagerstroemia speciosa,อินทนิลน้ำ,ป่าดิบชื้น,28.64,208.06,75.07,11.29,294.42,79.49,373.92,179.74,659.05,0.66
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A004,98.35135486,7.89523605,94,7.5,ตะแบก,Queen’s crape myrtle,Lagerstroemia speciosa,ตะแบก,ป่าดิบชื้น,29.91,146.71,51.09,8.62,206.42,55.73,262.15,126.02,462.06,0.46
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A005,98.35140842,7.895372504,86,9.6,ปีบ,Indian cork tree,Millingtonia hortensis,กาสะลอง,ป่าเบญจพรรณ,27.36,156.45,31.86,5.76,194.06,52.4,246.46,120.79,442.9,0.44
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A006,98.35142487,7.895367743,52,9,หูกวาง,Tropical almond,Terminalia catappa,หูกวาง,ป่าเบญจพรรณ,16.55,57.64,10.61,2.3,70.54,19.05,89.59,43.91,160.99,0.16
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A007,98.3513933,7.89538672,73,7.1,ปีบ,Indian cork tree,Millingtonia hortensis,กาสะลอง,ป่าเบญจพรรณ,23.23,86.98,16.69,3.39,107.06,28.91,135.97,66.64,244.34,0.24
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A008,98.35138857,7.895409732,149,13.4,ตีนเป็ด,Devil Tree,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,47.41,595.18,238.85,21.47,855.5,230.98,1086.48,522.27,1915,1.92
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A009,98.35144591,7.895345567,98,12.1,ตีนเป็ด,Devil Tree,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,31.18,247.7,90.96,12.8,351.46,94.89,446.35,214.56,786.73,0.79
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A010,98.35145867,7.895332194,89,7.7,โสก,Ashoka tree,Saraca indica,โสกอินเดีย,ป่าดิบชื้น,28.32,135.78,46.92,8.1,190.79,51.51,242.3,116.48,427.08,0.43
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A011,98.35172856,7.895483079,72,8.4,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,22.91,99.17,33.19,6.21,138.57,37.41,175.99,84.6,310.19,0.31
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A012,98.35171622,7.895505771,63.4,8.4,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,20.17,78.22,25.56,5.04,108.82,29.38,138.2,66.43,243.59,0.24
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A013,98.35170835,7.895545503,45,8.9,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,14.32,43.56,13.41,2.93,59.9,16.17,76.08,36.57,134.09,0.13
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A014,98.35148033,7.895565555,123,10.6,ยางนา,"Yang-na, Resin tree",Dipterocarpus alatus Roxb.,ยางนา,ป่าดิบชื้น,39.14,334.48,126.62,15.62,476.73,128.72,605.44,291.04,1067.13,1.07
24/3/2026,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A015,98.35138715,7.895810546,135,11.5,หว้า,Java plum,Syzygium cumini (L.) Skeels,หว้า,ป่าดิบชื้น,42.95,429.33,166.69,18.12,614.13,165.82,779.95,374.92,1374.71,1.37
3/24/2026,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A016,98.351631,7.895725,176,12.9,จามจุรี,"Rain Tree , Monkey Pod",Samanea saman (Jacq.) Merr,ก้ามปู,ป่าเบญจพรรณ,56,783.7,187.85,18.58,990.13,267.34,1257.47,616.28,2259.71,2.26
3/24/2026,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A017,98.351667,7.895678,60,8.8,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,19.09,73.71,23.94,4.78,102.43,27.66,130.08,62.53,229.28,0.23
3/24/2026,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A018,98.351637,7.89574,74,8.4,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,23.55,104.37,35.12,6.49,145.97,39.41,185.39,89.11,326.75,0.33
3/24/2026,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A019,98.351567,7.895787,72,8.7,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,22.91,102.47,34.41,6.39,143.27,38.68,181.95,87.46,320.7,0.32
3/24/2026,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A020,98.351514,7.895907,60,7.9,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,19.09,66.65,21.43,4.36,92.44,24.96,117.4,56.44,206.93,0.21
3/28/2026,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A021,98.351606,7.895747,50,8.9,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,15.91,53.02,16.66,3.53,73.2,19.76,92.97,44.69,163.86,0.16
3/28/2026,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A022,98.351541,7.89585,55,9.2,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,17.5,65.32,20.96,4.28,90.56,24.45,115.01,55.28,202.71,0.2
3/28/2026,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A023,98.351514,7.895907,47,7.2,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,14.95,38.76,11.8,2.62,53.19,14.36,67.55,32.47,119.06,0.12
3/28/2026,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A024,98.351444,7.895566,120,12,อโศก,Ashoka tree,Saraca asoca,,ป่าดิบชื้น,38.18,358.61,136.72,16.3,511.63,138.14,649.76,312.34,1145.25,1.15
