survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,images_overall,images_leaves,images_flowers,images_fruits,name_th,name_en,species_id,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A001,98.35154080,7.89510440,109,9.8,https://drive.google.com/open?id=11hWRlHlrPvVb5FacwNdh27J3d1zRBrlT,https://drive.google.com/open?id=127fqP8n1S3aV9_Wuve3TE1mR-vaNJ8No,,,กระทิง,Alexandrian Laurel,SP001,Calophyllum inophyllum,สารภีทะเล,ป่าดิบแล้ง,34.68,280.78,84.85,7.41,373.04,100.72,473.76,227.73,835.03,0.84
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A002,98.35146112,7.89516655,76,8.9,https://drive.google.com/open?id=1HFlviReBQHBohp4uU9_u5nG_Wf45Nqgy,,,,ปีบ,Indian Cork Tree,SP019,Millingtonia hortensis,กาสะลอง,ป่าเบญจพรรณ,24.18,115.77,22.86,4.41,143.04,38.62,181.66,89.03,326.44,0.33
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A003,98.35137619,7.89521674,90,11.9,https://drive.google.com/open?id=1MfSkXTJwumcTx4hsiqtP13KRyQH4cOSN,https://drive.google.com/open?id=1ibQLha_h_r40SNjULIkpj1WFXYXHQ9cg,,,อินทนิล,Queen’s Flower,SP033,Lagerstroemia speciosa,อินทนิลน้ำ,ป่าดิบชื้น,28.64,208.06,75.07,11.29,294.42,79.49,373.92,179.74,659.05,0.66
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A004,98.35135486,7.89523605,94,7.5,https://drive.google.com/open?id=1L7KfhJR5_N_Gk0X0G9civ_LkYrMelid2,https://drive.google.com/open?id=14OUsvtIsmfrOzic9fjrLAEffYeXa6t1b,,,ตะแบก,Queen’s Crape Myrtle,SP032,Lagerstroemia speciosa,ตะแบก,ป่าดิบชื้น,29.91,146.71,51.09,8.62,206.42,55.73,262.15,126.02,462.06,0.46
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A005,98.35140842,7.89537250,86,9.6,https://drive.google.com/open?id=1kGWRvLPMmWs6qKoieXQdOgvg53skKKYO,https://drive.google.com/open?id=12Ks91coryBbfPu3ggAMH5ewzms58THf0,,,ปีบ,Indian Cork Tree,SP019,Millingtonia hortensis,กาสะลอง,ป่าเบญจพรรณ,27.36,156.45,31.86,5.76,194.06,52.40,246.46,120.79,442.90,0.44
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A006,98.35142487,7.89536774,52,9,https://drive.google.com/open?id=1lbyJ-NfxbZNtI1_tWI-JHe6RO6xwbsfw,https://drive.google.com/open?id=1ghsnTRv8kcPIOynGoIiIg2Tns3odeIU7,,,หูกวาง,Tropical Almond,SP041,Terminalia catappa,หูกวาง,ป่าเบญจพรรณ,16.55,57.64,10.61,2.30,70.54,19.05,89.59,43.91,160.99,0.16
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A007,98.35139330,7.89538672,73,7.1,https://drive.google.com/open?id=1SZ18t2cVGbFjk1pYSOkNTGXhFNWaoR0i,https://drive.google.com/open?id=1bWker4j3h5l2kiy6FhoCjj2Yda4ZYR44,,,ปีบ,Indian Cork Tree,SP019,Millingtonia hortensis,กาสะลอง,ป่าเบญจพรรณ,23.23,86.98,16.69,3.39,107.06,28.91,135.97,66.64,244.34,0.24
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A008,98.35138857,7.89540973,149,13.4,https://drive.google.com/open?id=1aEZIfeGODnhxVUKNyIqKtE6CP9QtdKPv,https://drive.google.com/open?id=14K3PJtlnuCJwC56KQbwH3hMYwIsRgESB,,,ตีนเป็ด,Devil Tree,SP012,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,47.41,595.18,238.85,21.47,855.50,230.98,1086.48,522.27,1915.00,1.92
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A009,98.35144591,7.89534557,98,12.1,https://drive.google.com/open?id=12FknuMmcZ9V4UPV8jpLf5mPPMBFn5zap,https://drive.google.com/open?id=1VlD6CPSyUNz1ZtvfAsBo3XJV_Q6QmUS1,,,ตีนเป็ด,Devil Tree,SP012,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,31.18,247.70,90.96,12.80,351.46,94.89,446.35,214.56,786.73,0.79
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A010,98.35145867,7.89533219,89,7.7,https://drive.google.com/open?id=1sP2BR_KlRBh64mDMKbFg3zblpIjOLxFm,https://drive.google.com/open?id=1mrXOJHjD9YQhlIQCBwpPrxP7BP7tHs5O,,,โสก,Ashoka Tree,SP003,Saraca indica,โสกอินเดีย,ป่าดิบชื้น,28.32,135.78,46.92,8.10,190.79,51.51,242.30,116.48,427.08,0.43
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A011,98.35172856,7.89548308,72,8.4,https://drive.google.com/open?id=17TjuCFuR1zG0Uj9iSSx_zl49F2MOV3wO,https://drive.google.com/open?id=1J5CQwIVNa6WNwIz_0haDyygvN0NNHkuN,https://drive.google.com/open?id=1tIihnS8SQzBNp7Qa4koL0l5MDfaGrV1V,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,22.91,99.17,33.19,6.21,138.57,37.41,175.99,84.60,310.19,0.31
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A012,98.35171622,7.89550577,63.4,8.4,https://drive.google.com/open?id=1ysFuO-bHmPN-0R4ocIfwXaV6r9iXl2Pf,https://drive.google.com/open?id=1nWietNY7Z4X27A8O8gKjHP5_1AEt09Jm,,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,20.17,78.22,25.56,5.04,108.82,29.38,138.20,66.43,243.59,0.24
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A013,98.35170835,7.89554550,45,8.9,https://drive.google.com/open?id=1aCv6Eu4X8ViyObFb6-cIn63e6erry2an,https://drive.google.com/open?id=11l8hRyrZC6An6K4F5s1wD89OIO-G0YnI,https://drive.google.com/open?id=1hn7J3Wbu8C_YS9ayI1gtn8Hr1eAf1ert,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,14.32,43.56,13.41,2.93,59.90,16.17,76.08,36.57,134.09,0.13
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A014,98.35148033,7.89556556,123,10.6,https://drive.google.com/open?id=1mx85KawB-25T_3nh1_g5RzMbw0s0oXR1,https://drive.google.com/open?id=1AzwI7W1HYfG0r5H38aI4Ih8d2OsHSGjn,,,ยางนา,Resin Tree,SP042,Dipterocarpus alatus Roxb.,ยางนา,ป่าดิบชื้น,39.14,334.48,126.62,15.62,476.73,128.72,605.44,291.04,1067.13,1.07
2026-03-24,นางสาววรรณชนก อมิตรสูญ,A,A : ลานจอดรถ,A015,98.35138715,7.89581055,135,11.5,https://drive.google.com/open?id=15f2tEOczMBTSbLPK-OaHmUIDUeJBfXvc,https://drive.google.com/open?id=1qT6B1-YmjVYnGJWj9b_mGo_F-my_Y2PH,,,หว้า,Java Plum,SP022,Syzygium cumini (L.) Skeels,หว้า,ป่าดิบชื้น,42.95,429.33,166.69,18.12,614.13,165.82,779.95,374.92,1374.71,1.37
2026-03-24,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A016,98.35163100,7.89572500,176,12.9,https://drive.google.com/open?id=14xoGD6I9tKVfz9_tl_faBX4LeVgAWxN4,https://drive.google.com/open?id=1TKBO9ZAN6rQI-r88O0if3_l_fLaPnAO3,,,จามจุรี,Rain Tree,SP034,Samanea saman (Jacq.) Merr,ก้ามปู,ป่าเบญจพรรณ,56.00,783.70,187.85,18.58,990.13,267.34,1257.47,616.28,2259.71,2.26
2026-03-24,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A017,98.35166700,7.89567800,60,8.8,https://drive.google.com/open?id=1lAY1Ma_qdCRqqWbJhN3hBaXVT046Yth0,https://drive.google.com/open?id=1c_ss9feuPAHB4RcfQ5VVGbfSrx-zNMXJ,,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,19.09,73.71,23.94,4.78,102.43,27.66,130.08,62.53,229.28,0.23
2026-03-24,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A018,98.35163700,7.89574000,74,8.4,https://drive.google.com/open?id=1U0ZfxwHjtsDhAaSepjXP5BNYC6-aU-3y,https://drive.google.com/open?id=1xLX6Cdm4v2Ky6FjNHn2SS3CSYH9rjE7e,https://drive.google.com/open?id=1FKYD2glnWJQrxNi_v-VPqORztEHPkUMW,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,23.55,104.37,35.12,6.49,145.97,39.41,185.39,89.11,326.75,0.33
2026-03-24,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A019,98.35156700,7.89578700,72,8.7,https://drive.google.com/open?id=1RtjPePJ_7dsD1jCjoSpSRHjuiXTLKt7l,https://drive.google.com/open?id=1HP4ZWBQZRVfV3zQq6QNoQ6-YSWOJuSvV,https://drive.google.com/open?id=1l94d8SqL0Fr6BldZ5TGAViyy3ji2zmkl,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,22.91,102.47,34.41,6.39,143.27,38.68,181.95,87.46,320.70,0.32
2026-03-24,นางสาวภิญญาดา หอมจันทร์,A,A : ลานจอดรถ,A020,98.35151400,7.89590700,60,7.9,https://drive.google.com/open?id=1gabMvlllT_nGvQ8A5UCC1tXXcL2mE4VR,https://drive.google.com/open?id=1-IXxNS42bQF3a8zkxK5zl5e_2rjmEOHH,,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,19.09,66.65,21.43,4.36,92.44,24.96,117.40,56.44,206.93,0.21
2026-03-28,นางสาวญาณิศา ทองจีน,A,A : ลานจอดรถ,A021,98.35160600,7.89574700,50,8.9,https://drive.google.com/open?id=1bcEEhKsVZUqt_3PmlCly20XfpPenaaoi,https://drive.google.com/open?id=1uGWYs0xz9XurIiKgGSipS0VSPVx9buxN,,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,15.91,53.02,16.66,3.53,73.20,19.76,92.97,44.69,163.86,0.16
